,Company,Location,Salary,Job Title,Summary
0,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
1,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
2,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
3,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.
4,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
5,Ignite,Canberra ACT,,Data Support Analyst,Our client is seeking a Data Analyst for a long-term contract until September 2020 with extension through to September 2022.
6,Essential Services Commission,Melbourne City Centre VIC,,Data Analyst (multiple roles),"You will also develop and implement quality assurance processes to support data accuracy. The roles are responsible for managing, analysing and presenting data…"
7,Publicis Emil,Melbourne VIC,"$70,000 - $90,000 a year",Data Analyst,Collaboration with global data team to provide feedback on the local market applicability of emerging data toolsets and infrastructure.
8,Agency for Clinical Innovation,Chatswood NSW,"$110,961 - $126,496 a year",Data & Statistical Analyst,An experienced data analyst who has worked with health data. The Data and Statistical Analyst is responsible for the provision of sophisticated health related…
9,Swigs Tech,Melbourne VIC,,Data Analyst APS4,Acquiring data from primary or secondary data sources and maintaining databases and datasets on staff performance.
10,Electronic Arts,Melbourne VIC,,Game Analyst,Excellent data analysis and data visualisation skills. The role requires someone who is passionate about data and communicating the story behind that data to a…
11,Department of Justice and Community Safety,Melbourne City Centre VIC,,Data Analyst,"As the Data Analyst, you will: Reporting to the Senior Data Analyst, this role will be based in the Operations and Development team, whose primary focus is the…"
12,PwC,Sydney NSW,,Senior Data Analyst,Delivering crucial business insights to internal clients through data analytics and data visualisation. Having demonstrable interest of new technologies such as…
13,Intercontinental Exchange,Southbank VIC,,Data Analyst (Vietnamese Language),Intercontinental Exchange has an opportunity for a Data Analyst for Vietnamese Language within its ICE Data Services business. Accuracy - Strong focus on data.
14,Clemenger Group,Melbourne VIC,,Junior Digital Data Analyst,"Project manage online surveys including scripting, sample management and data analysis. Conduct data analysis across quantitative projects – cross tabulation,…"
15,City of Greater Geelong,Geelong VIC,"$83,508 - $90,180 a year",Data Analyst,"The Data analyst positively contributes to the operational success of the Revenue, Property & Valuation teams by providing accurate and timely property,…"
16,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
17,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
18,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
19,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
20,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. … Supporting the development of more junior analysts, as appropriate. … You will be the primary analyst on the team producing…"
21,Dimension Data,Melbourne VIC,,Graduate Business Analyst – Melbourne 2020,Graduate Business Analyst – Melbourne 2020. … Your journey to becoming a great business analyst starts here. … Dimension Data is an equal opportunity employer with…
22,Pearson,Melbourne VIC,,Data Analyst,"You will work alongside the Systems & Analytics team to understand and define our data segments, establish data standards & governance, bring different data…"
23,Airservices Australia,Queensland,,Asset Data Analyst,Position Description - Asset Data Analyst.pdf. … Have excellent communication including data visualisation skills. … In this role you will.
24,carsales.com.au,Melbourne VIC,,Data Analyst - Digital,As a Data Analyst you’ll drive outcomes for our consumer business. … Our Consumer Data Analytics & Science team is on the hunt for a driven Data Analyst looking…
25,University of New England (UNE),Armidale NSW,"$76,549 - $84,141 a year",Academic Data Analyst,"Working from either UNE Armidale or the UNE Sydney, Parramatta campus, The Academic Data Analyst will work as a member of the Academic Quality team and is…"
26,NAB - National Australia Bank,Melbourne VIC,,Data Analyst,"As a Data Analyst you will be responsible for identifying, analysing and interpreting issues and trends in data rapidly and accurately to derive logical…"
27,Dun And Bradstreet,Melbourne VIC,,Data Services & Insight Analyst,We are currently seeking a Data Services and Insight Analyst in Melbourne Data & Insight Team who will be responsible for the fulfilment of Data Services…
28,Aginic,Melbourne VIC,"$60,000 - $70,000 a year",Data Analyst (Melbourne),We are looking for motivated and passionate Data Analysts to join our family! … As a Data Analyst you will have the opportunity to complete assignments in other…
29,RMIT University,Melbourne City Centre VIC,,Senior Data Analyst,"The Senior Data Analyst is responsible for providing HR related analysis, data modelling and data management services to the People team, with a focus on…"
30,HelloFresh,Sydney NSW,,Procurement Data Analyst Intern,Conduct data analysis on available procurement data & and existing dashboards to build comprehensive view on proc team performance and areas of improvements.
31,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. … Experience of working on data integration projects.
32,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. … Demonstrated experience as Analyst with ability to…"
33,Ignite,Canberra ACT,,Data Support Analyst,Our client is seeking a Data Analyst for a long-term contract until September 2020 with extension through to September 2022.
34,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. … We are currently looking for an Analyst Geoscientific Data Management to provide data…
35,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. … Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
36,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.
37,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
38,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
39,Cushman & Wakefield,Melbourne VIC,,Property Data Analyst,"Identifies areas for data quality improvements and helps to resolve data quality problems. In collaboration with subject matter experts and data stewards,…"
40,Department of Justice and Community Safety,Melbourne City Centre VIC,,Senior Data Analyst,Experience in statistical data management. Conduct quantitative data analysis incorporating both descriptive and inferential statistical techniques.
41,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
42,IESTEC PTY. LTD,Saint Kilda VIC,,Internship - Engineering/Data Analysis,"SQL, data exploration tools, or data modeling skills. This is an excellent opportunity to work with experienced engineers and data analysts for large scale…"
43,Bega Cheese Ltd,Port Melbourne VIC,,Continuous Improvement Analyst,The Continuous Improvement Analyst is directly responsible to the Group Continuous Improvement Manager for: The Continuous Improvement Analyst is a key member…
44,ANZ Banking Group,Melbourne VIC,,Data Analyst Lead,"Our Data Analysts deeply understand the power of data to generate quality customer insight, manage information, identify trends and make decisions."
45,Target Australia Pty Ltd,Victoria,,Data Analyst - Online,"The ideal candidate will have tertiary qualifications in mathematics, computer science or information management along with good working experience as a Data…"
46,Suncorp Group,Sydney Inner Suburbs NSW,,Data Science Analyst,"Analyst, Pricing, Planning and Analysis, Team Member. The Data and Modelling team aspires to work with our business stakeholders and other pricing teams to…"
47,Gravity Consultants,Canberra ACT,,Graduate Software Engineer/Data Analyst (CANBERRA),We are currently on the look out for Graduate Software Developers /Data Analysts. Send in your applications to : Co-ordinate with an off-site team.
48,Catholic Education Melbourne,East Melbourne VIC,,Data Analyst,"Experience consolidating data from heterogeneous data sources. Working within the IT Services team, the successful candidates will be responsible for the…"
49,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
50,Ignite,Canberra ACT,,Data Support Analyst,Our client is seeking a Data Analyst for a long-term contract until September 2020 with extension through to September 2022.
51,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
52,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
53,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
54,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
55,Rio Tinto,Brisbane QLD,,Analyst Project Data Management,Analyst – Project Data Management. We are looking for an Analyst – Project Data Management to join our Project Data and Document Management team to provide…
56,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
57,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
58,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
59,University of Melbourne,Parkville VIC,"$103,409 - $111,927 a year",FINANCE TRANSFORMATION ANALYST,"Ideally, this individual will also have experience in a project management environment, with knowledge in data visualisation tools, such as Tableau or Power BI:"
60,Service Stream,Melbourne VIC,,Lead Data Analyst,Develop data scripts to extract accurate and complete data. We are currently seeking an experienced Lead Data Analyst to oversee and actively drive the data…
61,koji,Melbourne VIC,"$60,000 - $70,000 a year",Market Research Consultant - Data Visualisation and Analysis,"Dealing with data providers and other data analysts. Data extraction, manipulation & analysis. Developing new ways of reporting data."
62,Denovo Recruitment,New South Wales,,Data Analyst,For more information on this Data Analyst position please contact James Gormley at james.g@denovo.com.au or apply below.
63,BNY Mellon,Sydney NSW,,"Analyst, Data Management & Quantitative Analysis",There may also be the possibility of reviewing other reporting analysts outputs and being involved in deal QA testing.
64,Australian Taxation Office,Australia,,EL 1 Data Scientist,"Smarter Data Program, Data Science and Engineering. As an Data Scientist in Smarter Data, you will have a leadership role in data science projects."
