,Company,Location,Job Title,Summary,Annual_salary,Job_Type
0,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
1,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
2,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
3,Publicis Emil,Melbourne VIC,Data Analyst,Collaboration with global data team to provide feedback on the local market applicability of emerging data toolsets and infrastructure.,80000.0,0
4,Agency for Clinical Innovation,Chatswood NSW,Data & Statistical Analyst,An experienced data analyst who has worked with health data. The Data and Statistical Analyst is responsible for the provision of sophisticated health related…,118728.5,1
5,City of Greater Geelong,Geelong VIC,Data Analyst,"The Data analyst positively contributes to the operational success of the Revenue, Property & Valuation teams by providing accurate and timely property,…",86844.0,0
6,University of New England (UNE),Armidale NSW,Academic Data Analyst,"Working from either UNE Armidale or the UNE Sydney, Parramatta campus, The Academic Data Analyst will work as a member of the Academic Quality team and is…",80345.0,0
7,Aginic,Melbourne VIC,Data Analyst (Melbourne),We are looking for motivated and passionate Data Analysts to join our family! … As a Data Analyst you will have the opportunity to complete assignments in other…,65000.0,0
8,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. … Experience of working on data integration projects.,75000.0,0
9,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. … Demonstrated experience as Analyst with ability to…",174850.0,1
10,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. … Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
11,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
12,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
13,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
14,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
