,Company,Location,Salary,Job Title,Summary
0,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
1,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
2,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
3,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
4,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
5,IBM,Melbourne VIC,"$89,250 a year",IBM Research Scientist Data Scientist – Melbourne,"IBM Research Scientist Data Scientist – Melbourne. Experience working with big data sets, especially in secure environments. What will I be doing?"
6,Australian Taxation Office,Australia,,EL 1 Data Scientist,"As an Data Scientist in Smarter Data, you will have a leadership role in data science projects. We are seeking enthusiastic and innovative data scientists to…"
7,Deloitte,Melbourne VIC,,Deloitte Digital - Data Scientist,Data and analytics are at the core of what we do. Passionate about applying data science to “customer” problems such as data-driven marketing or augmented human…
8,Eliiza,Melbourne VIC,,Data Scientist,"Ability to manipulate complex data sets to model and visualise the data. In your role as a Data Scientist, you will be tasked with researching and delivering…"
9,Munich Re,Sydney NSW,,Data Scientist,"Identifies what data, both internally and externally, are available and relevant, as well as leveraging new data collection processes."
10,Youi Pty Ltd,Sunshine Coast QLD,,Graduate Data Scientist,"Preparation of data used for analysis. The role of a Graduate Data Scientist means that you will be integral in assisting the business to reduce costs, build…"
11,Queensland Government,Brisbane QLD,,Scientist (Donation & Recovery),"Collect and validate data related to donation processes and identify factors that limit donor retrieval or quality, as required."
12,carsales.com.au,Melbourne VIC,,Data Scientist,Strong data analytics and science skills. We’re on the lookout for a Data Scientist to join our Consumer Data & Insights team to get involved in our key…
