,Company,Location,Annual_salary,Job Title,Summary
0,University of New South Wales,Sydney NSW,89330.5,Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
1,IBM,Melbourne VIC,89250.0,IBM Research Scientist Data Scientist – Melbourne,"IBM Research Scientist Data Scientist – Melbourne. Experience working with big data sets, especially in secure environments. What will I be doing?"
2,Government of South Australia,Adelaide SA,96343.0,DATA SCIENTIST,"The Data Scientist is a technical expert responsible for statistical analysis and data analysis of multiple sensitive, large and diverse data sets, used to…"
3,Intellify Pty Ltd. - ACS Foundation,Sydney NSW,42000.0,Intern Data Scientist,"Experience with data visualisation tools or frameworks i.e. tableau, D3.js, ggplot2 etc. Strong Python or R programming experience and related data science…"
4,koji,Melbourne VIC,65000.0,Market Research Consultant - Data Visualisation and Analysis,"Dealing with data providers and other data analysts. Data extraction, manipulation & analysis. Developing new ways of reporting data."
7,IBM,Melbourne VIC,89250.0,IBM Research Scientist - Health AI Postdoc FTH 24Months Melb...,Research Scientist - Health AI Postdoc FTH 24Months Melbourne. Knowledge of using machine learning/deep learning for analysing video data.
9,Michael Page,Melbourne VIC,215000.0,Lead Data Scientist - Tech,"An experienced machine learning practitioner, passionate about building and improving internet-scale products informed by data."
11,University of South Australia,South Australia,107490.0,Online Lecturer - IT and Data Analysis (Level B Teaching Aca...,To be successful you will have a doctoral qualification or postgraduate degree in a relevant discipline along with recent teaching experience and discipline…
12,CSL Behring,Parkville VIC,87178.0,"Scientist, Cell Line Development",Ensure accurate and timely data collection including documentation of experiments. Actively participate in the analysis of data in conjunction with the team.
14,Curio Academy,Melbourne VIC,226300.0,"Data Taming, Modelling, and Visualisation (Grad Dip level) e...",6.Articulate the ideas that data scientists consider when looking at data. Data Scientist with online teaching facilitation. 14 Oct 2019 - 11 Dec 2019.
15,GapMaps Pty Ltd.,Docklands VIC,70000.0,GIS Analyst / GIS Scientist,Produce reports on geographic data utilizing data visualizations. Designing digital maps with geographic data and other data sources.
16,IBM,Melbourne VIC,89250.0,IBM Research Scientist -AI-NLP Melbourne,"IBM Research Scientist -AI-NLP Melbourne. IBM Research Scientist -AI-NLP Melbourne. IBM Research Scientists are charting the future of Artificial Intelligence,…"
17,Michael Page,Melbourne VIC,145000.0,Analytics Lead/ Data Scientist,"Coordinate with the different analytical and data functions to improve and solve data issues and capabilities. Data Analysis - SQL, MS BI stack, Oracle."
19,Australian Government Department of Defence,Canberra ACT,79625.0,"ASD 4/5/6 - Data Scientists, Software Developers and Integra...","System administrator, database administrator, software developer, integration developer, plugin developer, UX/UI developer, data processing, data governance and…"
20,NSW Health Pathology,St Leonards NSW,128978.0,Managing Scientist - Microbiology,"Senior Hospital Scientist I/C Lab >200. Scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the best…"
21,NSW Health Pathology,Deniliquin NSW,54738.0,Medical Laboratory Assistant - Deniliquin,"Excellent data entry skills including high attention to detail and data accuracy. Our network of pathologists are supported by scientists, technicians and…"
22,NSW Health Pathology,Australia,78697.0,Medical Laboratory Scientist - Bourke/Walgett Laboratories,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…"
23,Robert Half Australia,Perth WA,150000.0,Data Scientist,"With a strong track record for success, your outstanding talents as a data scientist are needed to complete a passionate, imaginative, and inspired team."
24,Australian Bureau of Meteorology,Australia,93526.5,Multi-Week / Seasonal Prediction Applications Scientist,"Forecast Services and Data and Digital. Classification APS Level 6 - Executive Level 1 (Research Scientist). Closing Date 11:30 pm AEST/AEDT Thursday, 22 August…"
25,Agency for Clinical Innovation,Chatswood NSW,118728.5,Data & Statistical Analyst,"An experienced data analyst who has worked with health data. Demonstrated proficient skills to program new analyses, clean and structure data, and develop and…"
26,IBM,Melbourne VIC,89250.0,Research Scientist NLP Post Doc – FTH 24 Months Melbourne,Research Scientist Natural Language Processing Post Doc – FTH 24 Months Melbourne. Fundamental research into neural natural language processing methods and…
28,Michael Page,Melbourne VIC,110000.0,Data Scientist,"The Data Scientist Role is a multifaceted one and supports a number of internal and external stakeholders. Experience working with Cloud(AWS, Azure)/ Big Data …"
29,Seer,Melbourne VIC,85000.0,Data Scientist,"Experience with machine learning and data science. We’re looking to hire an engineer/developer to work alongside our web developers, data scientists and…"
30,St Vincent's Hospital Melbourne,Melbourne VIC,72129.0,Research Tissue Coordinator,"Data management, collection and recording. Demonstrated data collection and management skills. SVHM - Victorian Public Health Sector (Medical Scientists,…"
31,NRMA Insurance Brisbane Broncos,Red Hill QLD,77500.0,Sports Scientist (Performance),Excellent working knowledge of data analysis software and sound working knowledge of Windows software; The Sports Scientist (Performance) is accountable for…
32,Murdoch Childrens Research Institute,Parkville VIC,86764.0,Research Assistant - Respiratory Scientist,"Ongoing responsibility for data quality, integrity and security. Assists and contributes to data generation and analyses for research and publications."
34,Michael Page,Sydney NSW,175000.0,Lead Data Scientist - building innovative technology for Aus...,"They bring together expertise in cognitive computing, big data, analytic, digital business design and Robotic Process Automation."
35,Hearing Australia,New South Wales,96349.5,Behavioural Scientist National Acoustic Laboratories,Analyse data and interpret results. This is an opportunity for an experienced and creative individual to join our existing team of behavioural scientists and…
36,Macquarie University,Macquarie University NSW,113430.5,Research Scientist: Mouse Population Genomics,"Demonstrated experience with analysis of genome sequencing data and high throughput sequencing population genomics data. From Level B $103,914 to 122,947 p.a."
38,Opus Recruitment Solutions,Melbourne VIC,346750.0,Lead Data Scientist,"Undertaking data collection, prepossessing and analysis. Presenting information using data visualization techniques. A chance to lead from the front."
