Suburb,Address,Rooms,Type,Price,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea,address,latitude,longitude,geometry,School_Name,School_Rank
Blackburn,4 Rosalind Cr,3,h,1110000.0,1/04/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"4 Rosalind Cr,Blackburn,3130,Victoria,Australia",-37.8286738,145.15928080000003,POINT (145.1592808 -37.8286738),Box Hill High School,1
Blackburn South,47A Canora St,3,h,980000.0,1/04/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"47A Canora St,Blackburn South,3130,Victoria,Australia",-37.838747,145.13988500000002,POINT (145.139885 -37.838747),Box Hill High School,1
Blackburn South,34 Lawrence St,4,h,1925000.0,1/04/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"34 Lawrence St,Blackburn South,3130,Victoria,Australia",-37.8337997,145.14854069999998,POINT (145.1485407 -37.8337997),Box Hill High School,1
Box Hill,12/20 Ashted Rd,2,u,420000.0,1/04/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"12/20 Ashted Rd,Box Hill,3128,Victoria,Australia",-37.823375399999996,145.1265634,POINT (145.1265634 -37.8233754),Box Hill High School,1
Surrey Hills,11 Shepherd St,4,h,1600000.0,1/04/2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"11 Shepherd St,Surrey Hills,3127,Victoria,Australia",-37.8323548,145.1085159,POINT (145.1085159 -37.8323548),Box Hill High School,1
Blackburn,4/5 Dewrang Cr,3,u,1095000.0,1/07/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"4/5 Dewrang Cr,Blackburn,3130,Victoria,Australia",-37.8178473,145.1415199,POINT (145.1415199 -37.8178473),Box Hill High School,1
Blackburn,2/17 Tara Av,2,u,689000.0,1/09/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"2/17 Tara Av,Blackburn,3130,Victoria,Australia",-37.815880299999996,145.14102580000002,POINT (145.1410258 -37.8158803),Box Hill High School,1
Box Hill,31 Sweetland Rd,8,h,1410000.0,1/09/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"31 Sweetland Rd,Box Hill,3128,Victoria,Australia",-37.8243245,145.13367019999998,POINT (145.1336702 -37.8243245),Box Hill High School,1
Blackburn,41 Alandale Rd,4,h,1250000.0,2/06/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"41 Alandale Rd,Blackburn,3130,Victoria,Australia",-37.827242600000005,145.1528392,POINT (145.1528392 -37.82724260000001),Box Hill High School,1
Blackburn South,23 Craig St,3,h,1290000.0,2/06/2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"23 Craig St,Blackburn South,3130,Victoria,Australia",-37.8315711,145.1387228,POINT (145.1387228 -37.8315711),Box Hill High School,1
Box Hill,27 Sweetland Rd,4,h,2060000.0,2/06/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"27 Sweetland Rd,Box Hill,3128,Victoria,Australia",-37.8243245,145.13367019999998,POINT (145.1336702 -37.8243245),Box Hill High School,1
Blackburn,5 Boongarry Av,5,h,1670000.0,3/03/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"5 Boongarry Av,Blackburn,3130,Victoria,Australia",-37.825566200000004,145.1470864,POINT (145.1470864 -37.8255662),Box Hill High School,1
Blackburn South,5 Abercromby Rd,4,h,1400000.0,3/03/2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"5 Abercromby Rd,Blackburn South,3130,Victoria,Australia",-37.8365461,145.1441781,POINT (145.1441781 -37.8365461),Box Hill High School,1
Blackburn South,2/134 Middleborough Rd,3,t,975000.0,3/03/2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"2/134 Middleborough Rd,Blackburn South,3130,Victoria,Australia",-37.83072670000001,145.1362805,POINT (145.1362805 -37.83072670000001),Box Hill High School,1
Box Hill,36 Ashted Rd,4,h,2128888.0,3/03/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"36 Ashted Rd,Box Hill,3128,Victoria,Australia",-37.823375399999996,145.1265634,POINT (145.1265634 -37.8233754),Box Hill High School,1
Blackburn,3/4 Downing St,4,t,940000.0,3/09/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"3/4 Downing St,Blackburn,3130,Victoria,Australia",-37.8186455,145.14569269999998,POINT (145.1456927 -37.8186455),Box Hill High School,1
Blackburn,49 Rosalind Cr,5,h,1442000.0,3/09/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"49 Rosalind Cr,Blackburn,3130,Victoria,Australia",-37.8286738,145.15928080000003,POINT (145.1592808 -37.8286738),Box Hill High School,1
Box Hill,32 Margaret St,4,h,1620000.0,3/09/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"32 Margaret St,Box Hill,3128,Victoria,Australia",-37.81454960000001,145.131838,POINT (145.131838 -37.81454960000001),Box Hill High School,1
Surrey Hills,2/33 Chestnut St,3,t,1110000.0,3/09/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"2/33 Chestnut St,Surrey Hills,3127,Victoria,Australia",-37.834712200000006,145.1106925,POINT (145.1106925 -37.83471220000001),Box Hill High School,1
Blackburn,23 Naughton Gr,5,h,1350000.0,3/09/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"23 Naughton Gr,Blackburn,3130,Victoria,Australia",-37.8289219,145.1568491,POINT (145.1568491 -37.8289219),Box Hill High School,1
Box Hill,20 Graham Pl,3,h,2831000.0,3/09/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"20 Graham Pl,Box Hill,3128,Victoria,Australia",-37.81550479999999,145.1297837,POINT (145.1297837 -37.81550479999999),Box Hill High School,1
Box Hill,6 Parkside Av,2,h,1820000.0,3/09/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"6 Parkside Av,Box Hill,3128,Victoria,Australia",-37.828403200000004,145.11865769999997,POINT (145.1186577 -37.8284032),Box Hill High School,1
Blackburn,31 Fuchsia St,4,h,2236000.0,8/10/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"31 Fuchsia St,Blackburn,3130,Victoria,Australia",-37.822791200000005,145.14115,POINT (145.14115 -37.8227912),Box Hill High School,1
Blackburn South,1 Shields Ct,4,h,1210000.0,8/10/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"1 Shields Ct,Blackburn South,3130,Victoria,Australia",-37.8341402,145.14505259999999,POINT (145.1450526 -37.8341402),Box Hill High School,1
Surrey Hills,8 Charles St,4,h,1530000.0,8/10/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"8 Charles St,Surrey Hills,3127,Victoria,Australia",-37.8257843,145.1126591,POINT (145.1126591 -37.8257843),Box Hill High School,1
Surrey Hills,63 Shepherd St,4,h,1812500.0,8/10/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"63 Shepherd St,Surrey Hills,3127,Victoria,Australia",-37.8323548,145.1085159,POINT (145.1085159 -37.8323548),Box Hill High School,1
Blackburn,11 Hirst St,3,h,1490000.0,9/09/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"11 Hirst St,Blackburn,3130,Victoria,Australia",-37.8297234,145.1388894,POINT (145.1388894 -37.8297234),Box Hill High School,1
Blackburn South,230 Canterbury Rd,4,h,1250000.0,9/12/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"230 Canterbury Rd,Blackburn South,3130,Victoria,Australia",-37.8310071,145.14096990000002,POINT (145.1409699 -37.8310071),Box Hill High School,1
Box Hill,1/121 Albion Rd,3,h,1202000.0,9/12/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"1/121 Albion Rd,Box Hill,3128,Victoria,Australia",-37.82511220000001,145.1299608,POINT (145.1299608 -37.82511220000001),Box Hill High School,1
Blackburn,1/5 Vine St,4,t,1000000.0,10/02/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"1/5 Vine St,Blackburn,3130,Victoria,Australia",-37.819716,145.1487315,POINT (145.1487315 -37.819716),Box Hill High School,1
Box Hill,1/2 Henry St,3,h,1280000.0,10/03/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"1/2 Henry St,Box Hill,3128,Victoria,Australia",-37.822731299999994,145.1257996,POINT (145.1257996 -37.82273129999999),Box Hill High School,1
Blackburn,31 Eustace St,4,h,1425000.0,10/09/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"31 Eustace St,Blackburn,3130,Victoria,Australia",-37.829879999999996,145.1516255,POINT (145.1516255 -37.82988),Box Hill High School,1
Blackburn,5/86 Main St,2,u,635000.0,10/09/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"5/86 Main St,Blackburn,3130,Victoria,Australia",-37.8267177,145.1491477,POINT (145.1491477 -37.8267177),Box Hill High School,1
